Reaction,Annotation
rxn01056,  Carbohydrate metabolism
rxn01248,  Metabolism of cofactors and vitamins
rxn15080,
rxn00272,  Amino acid metabolism
rxn03532,  Metabolism of cofactors and vitamins
rxn33431,  Metabolism of other amino acids
rxn04036,  Energy metabolism
rxn32015,  Energy metabolism
rxn02593,  Xenobiotics biodegradation and metabolism
rxn34228,  Carbohydrate metabolism
rxn16124,  Metabolism of terpenoids and polyketides
rxn15087,  Carbohydrate metabolism
rxn05915,  Glycan biosynthesis and metabolism
rxn34739,  Lipid metabolism
rxn24356,  Carbohydrate metabolism
rxn03091,
rxn14059,  Biosynthesis of other secondary metabolites
rxn14134,  Amino acid metabolism
rxn07678,  Lipid metabolism
rxn13097,  Nucleotide metabolism
rxn38535,  Amino acid metabolism
rxn16234,  Energy metabolism
rxn32907,  Carbohydrate metabolism
rxn03064,  Carbohydrate metabolism
rxn24214,  Metabolism of terpenoids and polyketides
rxn01039,  Amino acid metabolism
rxn13741,
rxn02103,  Nucleotide metabolism
rxn02430,  Metabolism of cofactors and vitamins
rxn23129,
rxn00852,  Amino acid metabolism
rxn12569,  Metabolism of cofactors and vitamins
rxn09432,  Lipid metabolism
rxn09459,  Metabolism of other amino acids
rxn04524,  Metabolism of terpenoids and polyketides
rxn04453,  Nucleotide metabolism
rxn30086,  Amino acid metabolism
rxn36682,  Lipid metabolism
rxn01541,  Nucleotide metabolism
rxn38710,  Amino acid metabolism
rxn02806,  Carbohydrate metabolism
rxn09345,  Metabolism of terpenoids and polyketides
rxn20665,
rxn02344,  Amino acid metabolism
rxn11681,  Lipid metabolism
rxn33266,  Carbohydrate metabolism
rxn03569,
rxn15233,  Carbohydrate metabolism
rxn05029,  Metabolism of cofactors and vitamins
rxn13931,  Glycan biosynthesis and metabolism
rxn34719,  Lipid metabolism
rxn32204,  Nucleotide metabolism
rxn38669,  Biosynthesis of other secondary metabolites
rxn27998,  Carbohydrate metabolism
rxn33701,  Xenobiotics biodegradation and metabolism
rxn00504,  Amino acid metabolism
rxn33298,  Metabolism of cofactors and vitamins
rxn11334,
rxn33295,  Biosynthesis of other secondary metabolites
rxn11765,  Xenobiotics biodegradation and metabolism
rxn09149,  Metabolism of cofactors and vitamins
rxn05333,  Lipid metabolism
dna_rxn,
rxn18974,  Nucleotide metabolism
rxn15414,  Lipid metabolism
rxn34204,  Carbohydrate metabolism
rxn28256,
rxn00964,  Xenobiotics biodegradation and metabolism
rxn05064,  Energy metabolism
rxn28091,  Carbohydrate metabolism
rxn38284,  Carbohydrate metabolism
rxn31766,  Nucleotide metabolism
rxn01485,  Carbohydrate metabolism
rxn35355,  Carbohydrate metabolism
rxn09471,  Metabolism of other amino acids
rxn04833,  Xenobiotics biodegradation and metabolism
rxn32978,  Carbohydrate metabolism
rxn09004,  Metabolism of terpenoids and polyketides
rxn21936,  Carbohydrate metabolism
rxn08659,  Carbohydrate metabolism
rxn32357,
rxn00367,  Nucleotide metabolism
rxn04662,  Amino acid metabolism
rxn32102,  Amino acid metabolism
rxn40264,  Energy metabolism
rxn38398,  Metabolism of terpenoids and polyketides
rxn01605,  Carbohydrate metabolism
rxn19870,  Amino acid metabolism
rxn02385,  Lipid metabolism
rxn21210,  Amino acid metabolism
rxn02165,  Xenobiotics biodegradation and metabolism
rxn44063,
EXpd00128,
rxn34716,  Lipid metabolism
rxn01303,  Amino acid metabolism
rxn16582,
rxn28988,
rxn01511,  Nucleotide metabolism
rxn01205,  Metabolism of cofactors and vitamins
rxn03198,  Lipid metabolism
rxn03856,  Carbohydrate metabolism
rxn23134,
rxn07160,  Biosynthesis of other secondary metabolites
rxn32185,  Amino acid metabolism
EXpd00307,
rxn00744,  Lipid metabolism
rxn01593,  Biosynthesis of other secondary metabolites
EXpd02083,
rxn26511,
rxn40007,
rxn15697,  Carbohydrate metabolism
rxn28376,  Nucleotide metabolism
rxn09002,  Metabolism of terpenoids and polyketides
rxn31887,  Lipid metabolism
rxn00378,  Energy metabolism
rxn31412,  Carbohydrate metabolism
rxn14399,
rxn12059,
rxn00229,  Carbohydrate metabolism
rxn04794,  Carbohydrate metabolism
rxn00587,  Xenobiotics biodegradation and metabolism
rxn04329,  Metabolism of terpenoids and polyketides
rxn02793,  Lipid metabolism
rxn00605,
rxn14109,  Amino acid metabolism
rxn03085,  Energy metabolism
rxn09063,  Metabolism of cofactors and vitamins
rxn03750,  Xenobiotics biodegradation and metabolism
rxn15616,  Metabolism of terpenoids and polyketides
rxn08393,  Lipid metabolism
rxn02655,  Biosynthesis of other secondary metabolites
rxn02142,  Xenobiotics biodegradation and metabolism
rxn03562,  Xenobiotics biodegradation and metabolism
rxn16727,  Metabolism of terpenoids and polyketides
rxn07524,  Xenobiotics biodegradation and metabolism
rxn16162,  Metabolism of terpenoids and polyketides
rxn03544,  Biosynthesis of other secondary metabolites
rxn34737,  Lipid metabolism
rxn30396,  Metabolism of cofactors and vitamins
rxn04323,  Metabolism of terpenoids and polyketides
rxn02518,  Nucleotide metabolism
rxn00469,  Amino acid metabolism
rxn31870,  Metabolism of cofactors and vitamins
rxn01015,  Carbohydrate metabolism
EX_biomass,
rxn34231,  Carbohydrate metabolism
rxn02263,  Carbohydrate metabolism
rxn12369,  Metabolism of cofactors and vitamins
rxn03791,  Xenobiotics biodegradation and metabolism
rxn01505,  Carbohydrate metabolism
rxn27381,  Amino acid metabolism
EXpd00393,
rxn01418,  Amino acid metabolism
rxn00347,  Amino acid metabolism
rxn16315,  Metabolism of cofactors and vitamins
rxn04331,  Metabolism of terpenoids and polyketides
rxn05145,  Nucleotide metabolism
rxn03715,  Xenobiotics biodegradation and metabolism
rxn34235,  Metabolism of other amino acids
rxn16323,
rxn09187,  Nucleotide metabolism
rxn07472,  Xenobiotics biodegradation and metabolism
rxn16614,  Glycan biosynthesis and metabolism
rxn15615,  Metabolism of terpenoids and polyketides
rxn01220,  Nucleotide metabolism
rxn32810,  Metabolism of cofactors and vitamins
rxn32595,
rxn09443,  Lipid metabolism
rxn47875,
rxn15933,  Metabolism of cofactors and vitamins
rxn26310,  Energy metabolism
rxn21216,
rxn38011,  Metabolism of other amino acids
rxn02761,  Nucleotide metabolism
rxn31272,  Lipid metabolism
rxn30366,  Carbohydrate metabolism
rxn07295,  Metabolism of cofactors and vitamins
rxn31257,  Lipid metabolism
rxn32292,
rxn11894,  Metabolism of cofactors and vitamins
EXpd00092,
rxn27916,  Biosynthesis of other secondary metabolites
rxn19646,
rxn06869,
rxn01222,  Nucleotide metabolism
rxn03339,  Amino acid metabolism
rxn15848,  Biosynthesis of other secondary metabolites
rxn04317,  Metabolism of terpenoids and polyketides
rxn27938,  Metabolism of terpenoids and polyketides
rxn01986,  Carbohydrate metabolism
rxn19740,  Nucleotide metabolism
rxn30524,  Energy metabolism
rxn06984,  Xenobiotics biodegradation and metabolism
rxn00714,  Nucleotide metabolism
rxn35537,
rxn07884,
rxn10898,
rxn01403,  Metabolism of other amino acids
rxn27716,  Carbohydrate metabolism
rxn34495,
rxn32376,  Metabolism of terpenoids and polyketides
rxn15550,
rxn04160,  Metabolism of cofactors and vitamins
rxn19157,
rxn38274,  Metabolism of cofactors and vitamins
rxn01064,  Xenobiotics biodegradation and metabolism
rxn10088,  Energy metabolism
rxn08170,  Metabolism of cofactors and vitamins
rxn00610,  Lipid metabolism
rxn04793,  Lipid metabolism
rxn10476,  Biosynthesis of other secondary metabolites
rxn08186,  Metabolism of cofactors and vitamins
rxn35351,  Amino acid metabolism
rxn00892,  Carbohydrate metabolism
rxn31988,  Amino acid metabolism
