Reaction,Annotation
rxn33703,  Biosynthesis of other secondary metabolites
rxn13681,
EXpd15297,
rxn13939,
rxn33618,  Amino acid metabolism
rxn32148,  Nucleotide metabolism
rxn03847,  Xenobiotics biodegradation and metabolism
rxn08518,
rxn46801,
rxn34632,  Carbohydrate metabolism
rxn02877,  Xenobiotics biodegradation and metabolism
rxn04472,  Xenobiotics biodegradation and metabolism
rxn15783,  Metabolism of cofactors and vitamins
rxn06086,  Lipid metabolism
rxn07741,  Lipid metabolism
rxn07347,  Metabolism of terpenoids and polyketides
rxn19567,  Energy metabolism
rxn09306,
rxn17807,  Lipid metabolism
rxn34581,  Metabolism of other amino acids
rxn32226,  Carbohydrate metabolism
rxn27481,  Metabolism of cofactors and vitamins
rxn01809,  Lipid metabolism
rxn04724,  Xenobiotics biodegradation and metabolism
rxn05114,  Nucleotide metabolism
rxn19979,  Biosynthesis of other secondary metabolites
rxn04328,  Metabolism of terpenoids and polyketides
rxn06542,  Amino acid metabolism
rxn04663,  Xenobiotics biodegradation and metabolism
rxn15255,  Carbohydrate metabolism
rxn04872,  Xenobiotics biodegradation and metabolism
rxn28089,  Carbohydrate metabolism
rxn38868,  Amino acid metabolism
rxn03843,
rxn32567,  Nucleotide metabolism
rxn11715,  Lipid metabolism
rxn15824,  Metabolism of terpenoids and polyketides
rxn03316,  Lipid metabolism
rxn33377,  Lipid metabolism
rxn00060,  Metabolism of cofactors and vitamins
rxn15469,  Lipid metabolism
rxn07647,  Metabolism of terpenoids and polyketides
rxn02228,  Amino acid metabolism
rxn28646,  Lipid metabolism
rxn04873,  Xenobiotics biodegradation and metabolism
rxn00584,  Xenobiotics biodegradation and metabolism
rxn01369,
rxn16515,
rxn29965,  Carbohydrate metabolism
rxn03868,  Xenobiotics biodegradation and metabolism
rxn17240,  Metabolism of cofactors and vitamins
rxn35444,  Metabolism of terpenoids and polyketides
rxn16581,
rxn33560,  Biosynthesis of other secondary metabolites
rxn15410,  Metabolism of other amino acids
rxn34232,
rxn08801,
rxn01313,  Metabolism of cofactors and vitamins
rxn16635,  Metabolism of terpenoids and polyketides
rxn31210,  Amino acid metabolism
rxn38004,  Carbohydrate metabolism
rxn31758,  Metabolism of other amino acids
rxn07880,
rxn34633,  Amino acid metabolism
rxn02071,  Amino acid metabolism
rxn01134,  Carbohydrate metabolism
rxn01300,  Amino acid metabolism
rxn35691,  Metabolism of other amino acids
rxn15865,  Biosynthesis of other secondary metabolites
rxn38076,
rxn09693,  Xenobiotics biodegradation and metabolism
rxn32630,  Amino acid metabolism
rxn32303,
rxn15751,  Energy metabolism
rxn20289,  Nucleotide metabolism
rxn02196,  Biosynthesis of other secondary metabolites
rxn16678,  Amino acid metabolism
rxn33346,
rxn38318,  Amino acid metabolism
rxn16683,  Carbohydrate metabolism
rxn00941,  Metabolism of cofactors and vitamins
rxn01462,  Amino acid metabolism
rxn20627,  Metabolism of cofactors and vitamins
rxn14196,  Metabolism of terpenoids and polyketides
rxn00290,
rxn15544,
rxn02925,  Amino acid metabolism
rxn00802,  Amino acid metabolism
rxn35524,  Metabolism of cofactors and vitamins
rxn14173,
rxn35527,  Lipid metabolism
rxn01788,  Metabolism of terpenoids and polyketides
rxn02141,  Xenobiotics biodegradation and metabolism
rxn05940,  Carbohydrate metabolism
rxn33398,  Lipid metabolism
rxn00787,  Carbohydrate metabolism
rxn16156,  Metabolism of terpenoids and polyketides
rxn01844,  Lipid metabolism
rxn25273,  Carbohydrate metabolism
rxn05616,
rxn32571,  Carbohydrate metabolism
rxn33193,  Nucleotide metabolism
rna_rxn,
rxn38009,  Carbohydrate metabolism
rxn31689,
rxn11650,  Metabolism of cofactors and vitamins
rxn17079,  Biosynthesis of other secondary metabolites
rxn28381,  Amino acid metabolism
rxn31886,  Metabolism of cofactors and vitamins
rxn07518,  Xenobiotics biodegradation and metabolism
rxn02437,  Carbohydrate metabolism
rxn03676,  Xenobiotics biodegradation and metabolism
rxn02283,  Metabolism of cofactors and vitamins
rxn29946,
rxn03431,
rxn06041,  Lipid metabolism
rxn33155,  Carbohydrate metabolism
rxn32739,  Carbohydrate metabolism
rxn04326,  Metabolism of terpenoids and polyketides
rxn01952,
EXpd00644,
rxn17400,  Metabolism of cofactors and vitamins
rxn26079,  Amino acid metabolism
rxn08444,  Lipid metabolism
rxn04588,  Biosynthesis of other secondary metabolites
rxn33042,  Carbohydrate metabolism
rxn14359,
rxn00245,  Carbohydrate metabolism
rxn34786,  Carbohydrate metabolism
rxn01973,  Amino acid metabolism
rxn27717,  Amino acid metabolism
rxn01926,
rxn12739,  Metabolism of cofactors and vitamins
rxn00615,  Lipid metabolism
rxn05152,  Nucleotide metabolism
rxn34730,  Lipid metabolism
rxn15129,  Carbohydrate metabolism
rxn27866,  Carbohydrate metabolism
rxn06979,  Metabolism of cofactors and vitamins
rxn09469,  Metabolism of other amino acids
rxn03916,  Glycan biosynthesis and metabolism
rxn19004,  Biosynthesis of other secondary metabolites
rxn34482,
rxn04754,  Xenobiotics biodegradation and metabolism
rxn31538,  Metabolism of cofactors and vitamins
rxn34447,
rxn13697,
rxn03919,  Glycan biosynthesis and metabolism
rxn32932,  Amino acid metabolism
