Reaction,Annotation
rxn03114, Lipid metabolism
rxn08069,
rxn25582,
rxn05618,
rxn03612, Xenobiotics biodegradation and metabolites
rxn03691, Xenobiotics biodegradation and metabolites
rxn00729, Amino acid metabolism
rxn09180, Amino acid metabolism
GmNegellwall,
rxn14232, Amino acid metabolism
rxn47121,
rxn34245, Carbohydrate metabolism
rxn07766, Biosynthesis of other secondary metabolites
rxn04036, Energy metabolism
rxn10105, Energy metabolism
rxn16412,
rxn16051, Metabolism of terpenoids and polyketides
rxn16175, Metabolism of terpenoids and polyketides
rxn31225, Lipid metabolism
rxn32048, Metabolism of other amino acids
rxn33696, Amino acid metabolism
rxn09693, Xenobiotics biodegradation and metabolites
rxn16758, Xenobiotics biodegradation and metabolites
rxn09420, Lipid metabolism
rxn00461, Carbohydrate metabolism
rxn19986, Amino acid metabolism
rxn07618, Xenobiotics biodegradation and metabolites
rxn07573, Lipid metabolism
rxn01474, Carbohydrate metabolism
rxn10272, Energy metabolism
rxn20046,
rxn02450, Lipid metabolism
rxn30698, Carbohydrate metabolism
rxn09124, Metabolism of cofactors and vitamins
rxn23808, Metabolism of other amino acids
rxn30332, Amino acid metabolism
rxn16826, Nucleotide metabolism
rxn27455, Xenobiotics biodegradation and metabolites
rxn28001, Carbohydrate metabolism
rxn12049, Metabolism of other amino acids
rxn02437, Carbohydrate metabolism
rxn28460,
rxn14089, Xenobiotics biodegradation and metabolites
rxn14097, Amino acid metabolism
rxn07450, Amino acid metabolism
rxn03559, Xenobiotics biodegradation and metabolites
rxn30418,
rxn04473, Metabolism of terpenoids and polyketides
rxn34567, Amino acid metabolism
rxn00693, Amino acid metabolism
rxn01911, Carbohydrate metabolism
rxn29956, Nucleotide metabolism
rxn31423,
rxn10984, Lipid metabolism
rxn06850, Lipid metabolism
rxn03594, Xenobiotics biodegradation and metabolites
EXpd00035,
rxn02779, Amino acid metabolism
rxn31218,
rxn15387, Metabolism of other amino acids
rxn38359, Carbohydrate metabolism
rxn25709,
biomass_GmNeg,
rxn03866, Xenobiotics biodegradation and metabolites
rxn07724, Lipid metabolism
rxn30334, Metabolism of other amino acids
rxn02253, Carbohydrate metabolism
rxn01644,
rxn15545, Lipid metabolism
rxn05308, Lipid metabolism
rxn16106, Metabolism of terpenoids and polyketides
rxn27866, Carbohydrate metabolism
EXpd00072,
rxn12005, Metabolism of cofactors and vitamins
rxn32073, Metabolism of other amino acids
rxn01597, Xenobiotics biodegradation and metabolites
rxn38885, Carbohydrate metabolism
rxn00677, Carbohydrate metabolism
rxn05458, Lipid metabolism
rxn03642, Carbohydrate metabolism
rxn30391,
rxn09301, Nucleotide metabolism
rxn16513, Carbohydrate metabolism
rxn33231, Carbohydrate metabolism
rxn00833, Nucleotide metabolism
rxn35437,
rxn30733, Carbohydrate metabolism
rxn30019, Amino acid metabolism
EXpd00030,
rxn38971, Energy metabolism
rxn14173,
rxn32814,
