Component 1,Component 2,Label,Species,Classification
-233.8513279,2401.366973,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
58.00032643,2306.845189,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
1075.211442,3136.231965,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
387.2734408,3369.986203,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-31.78284797,2678.488307,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
338.2057044,1999.972717,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
660.9323492,2873.92312,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
408.1036845,3191.029588,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
506.6249355,2574.756185,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
872.309836,3140.916214,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
894.9250408,2349.858102,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-744.4877591,2184.813462,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-186.6400445,3304.274652,1075106.4.sbml.csv,Bifidobacterium animalis I,Bifidobacteriaceae
-397.2376132,1503.512762,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-896.2645753,1875.621163,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
1558.781283,516.334459,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-199.3210097,123.1161802,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
272.9917864,1614.031999,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-702.9533731,-146.474012,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
325.2975156,320.9395103,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
836.252892,-17.39272498,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
109.0781553,1953.698082,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-254.3093466,1660.323529,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-282.2652452,1802.044009,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-1208.701473,691.6010837,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
505.6879052,659.89354,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-836.4184421,148.8331302,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-508.7091431,1314.233377,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
1497.316032,-689.2081625,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
1331.373738,366.5579835,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-1525.694127,839.3329535,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-385.4309749,753.552168,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
403.2846365,710.0219672,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
1964.258824,-308.0295359,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-535.2353105,-525.5535123,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
1220.9884,150.4429369,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
547.5910194,-284.7878862,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
356.3278511,1282.556466,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-768.9419427,-176.3535902,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-2121.211946,404.6190478,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
515.4817427,340.555319,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-1286.787384,1289.260476,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-910.8620497,-1139.953479,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-648.754426,1081.163349,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-371.3137986,1250.870112,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-939.8727912,-781.465411,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
223.3781031,-327.7188863,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
419.2226101,1071.374896,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
2181.187385,-319.3826024,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
408.4243926,205.6518092,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
477.0564495,389.3910755,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-148.2518481,-840.6749625,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-886.5026778,134.4689704,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
-304.3032155,1497.549729,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
1714.048048,386.0959048,1358.1413.sbml.csv,Lactococcus lactis,Streptococcaceae
