,Component 1,Component 2,Label,Classification
3966,-1716.9739625772888,1370.4678031783478,1750.7.sbml.csv,Commensal
3967,-1615.5742483507267,2273.8553489556994,1750.7.sbml.csv,Commensal
3968,-631.2938242414809,-845.6793690062593,1750.7.sbml.csv,Commensal
3969,136.32358226046748,-2528.383220699279,1750.7.sbml.csv,Commensal
3970,-1164.6735049712458,-113.6242786384896,1750.7.sbml.csv,Commensal
3971,-440.33202876197504,-1698.1419560686684,1750.7.sbml.csv,Commensal
3972,-280.1536479271203,-1235.9879205480506,1750.7.sbml.csv,Commensal
3973,539.4377176776825,-2553.7255418969007,1750.7.sbml.csv,Commensal
3974,-77.56254836036015,-2212.500237752184,1750.7.sbml.csv,Commensal
3975,-972.4718572184505,1216.769161595593,1750.7.sbml.csv,Commensal
3976,-1385.8794485708431,1936.1712522073976,1750.7.sbml.csv,Commensal
3977,-1083.9618613802704,716.5394654738109,1750.7.sbml.csv,Commensal
3978,293.07970816521345,-1395.6675979360095,1750.7.sbml.csv,Commensal
3979,-2046.0661687362115,460.8905879242466,1750.7.sbml.csv,Commensal
3980,-213.4806033627284,-1575.7054233992217,1750.7.sbml.csv,Commensal
3981,169.0615324666613,-705.6198990620376,1750.7.sbml.csv,Commensal
3982,-112.5120478888213,-2255.131725922373,1750.7.sbml.csv,Commensal
3983,-330.0953851727198,-1766.8836804726393,1750.7.sbml.csv,Commensal
3984,-1050.0383914530846,51.20493331714434,1750.7.sbml.csv,Commensal
3985,-1454.8376178358628,-1413.5582519856084,1750.7.sbml.csv,Commensal
3986,384.6925424215091,-1507.1374118642736,1750.7.sbml.csv,Commensal
3987,-310.11788207009323,-707.3414372090608,1750.7.sbml.csv,Commensal
3988,126.93055212285394,-1577.6401327403642,1750.7.sbml.csv,Commensal
3989,-1003.3414221842975,-639.3356336348232,1750.7.sbml.csv,Commensal
3990,693.0149763971563,-2362.7383836118597,1750.7.sbml.csv,Commensal
3991,-1032.2172452810478,52.93595452021092,1750.7.sbml.csv,Commensal
3992,179.6861500165923,-1324.133285489854,1750.7.sbml.csv,Commensal
3993,-2816.6077163505515,-436.9257357452568,1750.7.sbml.csv,Commensal
3994,-94.09795495864061,-971.5221901063242,1750.7.sbml.csv,Commensal
3995,-1820.0012935640489,988.4235097410669,1750.7.sbml.csv,Commensal
3996,-1024.2674137620563,-1112.7103415705874,1750.7.sbml.csv,Commensal
3997,-510.2784884284294,678.7841286258816,1750.7.sbml.csv,Commensal
3998,29.202706268864965,-472.8289680817239,1750.7.sbml.csv,Commensal
3999,-123.51454756053037,-1121.2897587760722,1750.7.sbml.csv,Commensal
4000,-361.59802028573307,-1033.4597078313654,209053.3.sbml.csv,Commensal
4001,208.4598811593937,-1878.36732476682,209053.3.sbml.csv,Commensal
4002,-1334.122773020172,-1058.5807378218785,209053.3.sbml.csv,Commensal
4003,-2097.6976604464126,725.5511345287692,209053.3.sbml.csv,Commensal
4004,-2530.488051924944,464.2496183328272,209053.3.sbml.csv,Commensal
4005,-3060.278404832289,631.5585034927088,209053.3.sbml.csv,Commensal
4006,-151.1543517600771,-2092.6005834406315,209053.3.sbml.csv,Commensal
4007,-913.9906951620732,-2245.1742995620584,209053.3.sbml.csv,Commensal
4008,-1063.1699383177606,-195.90456831532475,209053.3.sbml.csv,Commensal
4009,-1889.4724257309517,-49.583540312535234,209053.3.sbml.csv,Commensal
4010,-627.325545519551,-785.185245219992,209053.3.sbml.csv,Commensal
4011,-1253.507207393351,-501.2507478994035,209053.3.sbml.csv,Commensal
4012,-1306.8823209945651,-700.3960940594872,209053.3.sbml.csv,Commensal
4013,-867.0700942268451,-1282.5638872220559,209053.3.sbml.csv,Commensal
4014,-1168.9172702569108,-135.73831117998378,209053.3.sbml.csv,Commensal
4015,-2443.0740537469055,306.3210057774224,209053.3.sbml.csv,Commensal
4016,-127.53102638065238,-1933.2425255421108,209053.3.sbml.csv,Commensal
4017,-929.9954329728178,69.00923784460966,209053.3.sbml.csv,Commensal
4018,-801.9549469650713,-555.1412715756827,209053.3.sbml.csv,Commensal
4019,386.0975170573699,-2072.604127786929,209053.3.sbml.csv,Commensal
4020,-437.1495502665707,-1973.2879885298012,209053.3.sbml.csv,Commensal
4021,-1460.4968270317584,-1495.4201726827669,209053.3.sbml.csv,Commensal
4022,304.8997235561263,-1672.6566763615626,209053.3.sbml.csv,Commensal
4023,227.60618800283027,-1962.8607144183788,209053.3.sbml.csv,Commensal
4024,-1338.1865930364918,-865.4947397239852,209053.3.sbml.csv,Commensal
4025,-527.8673750233409,-1951.2170035663055,209053.3.sbml.csv,Commensal
4026,-985.9286123171472,-2030.337448044191,209053.3.sbml.csv,Commensal
4027,-1034.014183830435,-2324.0702714450845,209053.3.sbml.csv,Commensal
4028,-1048.289007034146,-1907.9449915240941,209053.3.sbml.csv,Commensal
4029,-1321.439853933285,203.26710482204817,209053.3.sbml.csv,Commensal
4030,-96.990036983692,-1862.095451350018,209053.3.sbml.csv,Commensal
